Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Family_Members,Approved_status,Age,Employed_status
5056149,M,Y,N,0,157500,Working,Secondary Education,Married,House / apartment,2,0,64,Employed
5090386,F,N,Y,0,247500,Commercial associate,Higher Education,Single / not married,House / apartment,1,0,59,Employed
5033628,F,N,Y,0,166500,State servant,Higher Education,Married,House / apartment,2,0,65,Employed
5126108,F,N,Y,0,112500,State servant,Secondary Education,Single / not married,House / apartment,1,0,56,Employed
5112599,F,N,Y,0,103500,Working,Secondary Education,Married,House / apartment,2,0,62,Employed
5028292,F,N,Y,0,292500,Working,Higher Education,Separated,House / apartment,1,0,54,Employed
5090954,F,N,N,0,270000,State servant,Secondary Education,Separated,House / apartment,1,0,53,Employed
5089240,F,N,N,0,270000,State servant,Secondary Education,Separated,House / apartment,1,0,53,Employed
5087852,F,Y,N,0,202500,State servant,Secondary Education,Married,House / apartment,2,0,54,Employed
5067003,M,Y,Y,0,202500,Working,Secondary Education,Married,House / apartment,2,0,51,Employed
5126294,M,N,N,0,225000,Working,Secondary Education,Married,House / apartment,2,0,58,Employed
5100027,F,Y,N,0,180000,Working,Secondary Education,Married,House / apartment,2,0,53,Employed
5096085,F,N,N,0,67500,Working,Secondary Education,Married,Municipal apartment,2,0,50,Employed
5097106,F,N,Y,0,193500,Working,Secondary Education,Married,House / apartment,2,0,58,Employed
5097105,F,N,Y,0,193500,Working,Secondary Education,Married,House / apartment,2,0,58,Employed
5146114,F,N,Y,0,157500,State servant,Higher Education,Separated,House / apartment,1,0,57,Employed
5116056,F,N,N,0,135000,Working,Secondary Education,Married,House / apartment,2,0,49,Employed
5050485,F,N,N,0,292500,Commercial associate,Secondary Education,Civil marriage,House / apartment,2,0,51,Employed
5050482,F,N,N,0,292500,Commercial associate,Secondary Education,Civil marriage,House / apartment,2,0,51,Employed
5112966,F,N,N,0,112500,Working,Secondary Education,Married,House / apartment,2,0,52,Employed
5074705,F,N,Y,0,157500,Working,Higher Education,Single / not married,House / apartment,1,0,61,Employed
5148981,F,Y,Y,0,94500,Working,Secondary Education,Married,House / apartment,2,0,50,Employed
5023563,F,N,Y,0,202500,Working,Secondary Education,Widow,House / apartment,1,0,49,Employed
5090415,F,Y,N,0,216000,Working,Secondary Education,Single / not married,House / apartment,1,0,54,Employed
5009472,F,N,N,0,157500,Working,Secondary Education,Married,House / apartment,2,0,54,Employed
5053388,F,N,Y,0,135000,Working,Secondary Education,Civil marriage,House / apartment,2,0,45,Employed
5105422,F,N,Y,0,193500,Working,Secondary Education,Single / not married,House / apartment,1,0,51,Employed
5090232,F,N,Y,0,135000,Working,Secondary Education,Widow,House / apartment,1,0,60,Employed
5086062,F,N,Y,0,135000,State servant,Secondary Education,Married,House / apartment,2,0,56,Employed
5086060,F,N,Y,0,135000,State servant,Secondary Education,Married,House / apartment,2,0,56,Employed
5068038,F,N,N,0,112500,State servant,Secondary Education,Married,With parents,2,0,47,Employed
5061500,F,N,Y,1,135000,Working,Incomplete Higher,Married,House / apartment,3,0,44,Employed
5095433,F,N,Y,0,292500,Working,Higher Education,Married,House / apartment,2,0,51,Employed
5045844,F,Y,N,0,193500,Working,Secondary Education,Married,House / apartment,2,0,57,Employed
5065723,F,N,Y,1,202500,State servant,Secondary Education,Civil marriage,House / apartment,3,0,44,Employed
5116818,M,N,Y,0,85500,State servant,Secondary Education,Separated,Co-op apartment,1,0,45,Employed
5116817,M,N,Y,0,85500,State servant,Secondary Education,Separated,Co-op apartment,1,0,45,Employed
5009195,F,N,N,0,292500,State servant,Secondary Education,Married,House / apartment,2,0,57,Employed
5009207,F,N,N,0,292500,State servant,Secondary Education,Married,House / apartment,2,0,57,Employed
5136020,M,Y,N,1,351000,Commercial associate,Secondary Education,Married,House / apartment,3,0,44,Employed
5048425,F,N,Y,0,171000,Working,Secondary Education,Single / not married,House / apartment,1,0,54,Employed
5035688,F,Y,Y,0,135000,Working,Secondary Education,Civil marriage,House / apartment,2,0,45,Employed
5035682,F,Y,Y,0,135000,Working,Secondary Education,Civil marriage,House / apartment,2,0,45,Employed
5022243,F,N,Y,0,202500,Working,Secondary Education,Married,House / apartment,2,0,42,Employed
5054524,F,N,N,2,180000,Working,Secondary Education,Married,House / apartment,4,1,46,Employed
5054525,F,N,N,2,180000,Working,Secondary Education,Single / not married,House / apartment,4,1,46,Employed
5113854,M,N,N,0,202500,Working,Secondary Education,Single / not married,House / apartment,1,0,42,Employed
5142239,F,Y,Y,0,270000,State servant,Higher Education,Married,House / apartment,2,0,45,Employed
5052678,F,N,Y,1,135000,Working,Higher Education,Married,House / apartment,3,0,43,Employed
5097065,F,N,Y,0,121500,Working,Secondary Education,Married,House / apartment,2,1,52,Employed
5022047,M,Y,Y,0,135000,Working,Secondary Education,Married,Office apartment,2,0,41,Employed
5010225,F,Y,Y,1,90000,State servant,Secondary Education,Married,House / apartment,3,0,48,Employed
5010218,F,Y,Y,1,90000,State servant,Secondary Education,Married,House / apartment,3,0,48,Employed
5010226,F,Y,Y,1,90000,State servant,Secondary Education,Married,House / apartment,3,0,48,Employed
